Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (British/Irish),nan,325,200,430,440,320,nan,Nov,343,343,nan
Greylag Goose,nan,325,200,430,440,320,nan,Nov,343,343,nan
Mallard,nan,150,110,100,130,270,nan,Dec,152,152,nan
Tufted Duck,nan,38,30,26,(17),50,nan,Feb,36,36,nan
Canada Goose,nan,2,15,27,75,60,nan,Nov,36,36,nan
Mandarin Duck,nan,20,13,7,5,5,nan,Feb,10,10,nan
Domestic Greylag Goose,nan,5,6,7,9,15,nan,Oct,8,8,nan
Mute Swan,nan,0,2,0,5,3,nan,Jul,2,2,nan
Teal,nan,5,0,0,0,0,nan,nan,1,1,nan
Egyptian Goose,nan,0,0,0,1,2,nan,Jul,1,1,nan
Goldeneye,nan,0,0,0,1,1,nan,May,0,0,nan
Gadwall,nan,0,2,0,0,0,nan,nan,0,0,nan
Goosander,nan,0,0,1,0,0,nan,nan,0,0,nan
Pochard,nan,1,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,1,0,nan,nan,0,0,nan
Wigeon,nan,0,1,0,0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,0,0,1,nan,Mar,0,0,nan
Red-breasted Goose,nan,0,1,0,0,0,nan,nan,0,0,nan
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
