Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Eider (except Shetland),nan,60,65,27,29,6,nan,Aug,37,37,nan
Eider,nan,60,65,27,29,6,nan,Aug,37,37,nan
Pink-footed Goose,nan,50,0,(0),0,77,nan,Jan,32,32,nan
Common Scoter,nan,0,0,(0),12,6,nan,Jul,5,5,nan
Mallard,nan,1,(2),4,5,8,nan,Feb,5,5,nan
Mute Swan,nan,7,3,(4),2,2,nan,Nov,4,4,nan
Wigeon,nan,13,0,(0),0,0,nan,nan,3,3,nan
Teal,nan,11,0,(0),0,0,nan,nan,3,3,nan
Velvet Scoter,nan,0,0,(0),0,4,nan,Aug,1,1,nan
Red-breasted Merganser,nan,1,0,1,0,0,nan,nan,0,0,nan
Goosander,nan,0,0,(0),0,0,nan,nan,0,0,nan
Tufted Duck,nan,0,0,(0),0,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,(0),0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,(0),0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,(0),0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
