Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (British/Irish),nan,17,326,135,239,715,nan,Oct,286,286,nan
Greylag Goose,nan,17,326,135,239,715,nan,Oct,286,286,nan
Canada Goose,nan,19,10,6,127,48,nan,Sep,42,42,nan
Mallard,nan,26,38,48,32,12,nan,Aug,31,31,nan
Teal,nan,21,13,0,20,0,nan,nan,11,11,nan
Tufted Duck,nan,18,3,11,2,0,nan,nan,7,7,nan
Pink-footed Goose,nan,0,0,0,0,26,nan,Oct,5,5,nan
Goosander,nan,3,1,0,1,0,nan,nan,1,1,nan
Bar-headed Goose,nan,0,5,0,0,0,nan,nan,1,1,nan
Pochard,nan,2,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,1,0,0,nan,nan,0,0,nan
Mute Swan,nan,0,0,0,1,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Muscovy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
