Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,415,485,628,45,509,nan,Sep,416,416,nan
Wigeon,nan,350,438,117,168,62,nan,Feb,227,227,nan
Mallard,nan,195,182,99,177,112,nan,Dec,153,153,nan
Teal,nan,174,102,32,3,1,nan,Mar,62,62,nan
Greylag Goose (British/Irish),nan,30,26,50,4,147,nan,Sep,51,51,nan
Greylag Goose,nan,30,26,50,4,147,nan,Sep,51,51,nan
Domestic Greylag Goose,nan,0,9,79,0,0,nan,nan,18,18,nan
Pintail,nan,0,8,12,16,3,nan,Mar,8,8,nan
Mute Swan,nan,3,0,2,12,1,nan,Apr,4,4,nan
Tufted Duck,nan,3,7,2,1,1,nan,Feb,3,3,nan
Gadwall,nan,5,4,3,2,0,nan,nan,3,3,nan
Shoveler,nan,4,7,0,2,0,nan,nan,3,3,nan
Egyptian Goose,nan,0,2,4,0,2,nan,Jan,2,2,nan
Pochard,nan,0,3,0,1,1,nan,Jan,1,1,nan
Garganey,nan,0,0,2,0,0,nan,nan,0,0,nan
Shelduck,nan,0,0,0,0,1,nan,May,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Goosander,nan,0,0,0,0,0,nan,nan,0,0,nan
Smew,nan,0,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Long-tailed Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Eider (except Shetland),nan,0,0,0,0,0,nan,nan,0,0,nan
Eider,nan,0,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
