Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,78.0,85,60Standard visit under the WeBS Low Tide Count SurveyWeBS,64Standard visit under the WeBS Low Tide Count SurveyWeBS,77Standard visit under the WeBS Low Tide Count SurveyWeBS,nan,Dec,73.0,73.0,nan
Mute Swan,nan,27.0,11,7,12,19,nan,Jul,15.0,15.0,nan
Mallard,nan,12.0,7,15,6,17,nan,Jun,11.0,11.0,nan
Brent Goose (Dark-bellied - bernicla),nan,0.0,11,(2),0,1,nan,Jan,3.0,3.0,nan
Brent Goose,nan,0.0,11,(2),0,1,nan,Jan,3.0,3.0,nan
Brent Goose (Light-bellied - hrota),nan,0.0,11,0,0,1,nan,Jan,2.0,2.0,nan
Shelduck,nan,0.0,1Standard visit under the WeBS Low Tide Count SurveyWeBS,2,2,2,nan,Mar,1.0,1.0,nan
Goosander,nan,0.0,0,0,0,2Standard visit under the WeBS Low Tide Count SurveyWeBS,nan,Nov,0.0,0.0,nan
Wigeon,nan,0.0,0,0,1,0,nan,nan,0.0,0.0,nan
Red-breasted Merganser,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Goldeneye,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Common Scoter,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Eider (except Shetland),nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Eider,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Scaup,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Tufted Duck,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Pintail,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Gadwall,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Shoveler,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Greylag Goose (British/Irish),nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Greylag Goose,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Canada Goose,nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Brent Goose (Svalbard Light-bellied),nan,0.0,0,0,0,0,nan,nan,0.0,0.0,nan
Domestic Mallard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
END,END,END,END,END,END,END,END,END,END
