Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,44,46,38,31,48,nan,Oct,41,41,nan
Eider (except Shetland),nan,45,25,43,45,14,nan,Aug,34,34,nan
Eider,nan,45,25,43,45,14,nan,Aug,34,34,nan
Pink-footed Goose,nan,0,60,0,0,0,nan,nan,12,12,nan
Common Scoter,nan,13,0,0,10,0,nan,nan,5,5,nan
Wigeon,nan,0,10,0,1,1,nan,Aug,2,2,nan
Red-breasted Merganser,nan,2,2,1,2,0,nan,nan,1,1,nan
Long-tailed Duck,nan,0,0,0,7,0,nan,nan,1,1,nan
Teal,nan,0,0,0,4,0,nan,nan,1,1,nan
Mute Swan,nan,3,1,0,0,0,nan,nan,1,1,nan
Goldeneye,nan,2,1,0,0,0,nan,nan,1,1,nan
Velvet Scoter,nan,2,0,0,0,0,nan,nan,0,0,nan
Shelduck,nan,2,0,0,0,0,nan,nan,0,0,nan
Goosander,nan,1,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Tufted Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Canada Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
