Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,16,53,(43),20,98,nan,Sep,47,47,nan
Teal,nan,15,50,(40),5,15,nan,Oct,25,25,nan
Goosander,nan,(3),(2),(1),(0),3,nan,Oct,3,3,nan
Goldeneye,nan,1,0,3,1,0,nan,nan,1,1,nan
Mute Swan,nan,0,0,3,(0),0,nan,nan,1,1,nan
Red-breasted Merganser,nan,0,0,0,(0),0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,(0),0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,(0),0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,(0),0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
