Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,194,195,181,163,64.0,nan,Dec,159,159,nan
Mallard,nan,32,34,42,23,35.0,nan,Nov,33,33,nan
Tufted Duck,nan,22,14,12,20,12.0,nan,May,16,16,nan
Greylag Goose (British/Irish),nan,1,3,31,14,22.0,nan,Aug,14,14,nan
Greylag Goose,nan,1,3,31,14,22.0,nan,Aug,14,14,nan
Wigeon,nan,27,12,6,23,0.0,nan,nan,14,14,nan
Gadwall,nan,13,23,6,6,13.0,nan,Feb,12,12,nan
Mute Swan,nan,15,8,5,2,3.0,nan,Aug,7,7,nan
Pochard,nan,4,6,8,9,2.0,nan,Mar,6,6,nan
Canada Goose,nan,4,9,12,2,0.0,nan,nan,5,5,nan
Shoveler,nan,4,4,5,6,2.0,nan,Apr,4,4,nan
Shelduck,nan,0,2,11,5,0.0,nan,nan,4,4,nan
Goldeneye,nan,0,0,0,2,1.0,nan,Nov,1,1,nan
Garganey,nan,1,1,0,0,0.0,nan,nan,0,0,nan
Goosander,nan,0,0,0,1,0.0,nan,nan,0,0,nan
Aythya hybrid,nan,0,0,0,1,0.0,nan,nan,0,0,nan
Pintail,nan,1,0,0,0,0.0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,1.0,nan,Oct,0,0,nan
Ruddy Duck,nan,0,0,0,0,0.0,nan,nan,0,0,nan
Domestic Mallard,nan,0,0,0,0,0.0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0.0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0.0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,0,nan,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
