Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pink-footed Goose,nan,0,0,790Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,0,nan,nan,158,158,nan
Teal,nan,34,80,68,42,0,nan,nan,45,45,nan
Wigeon,nan,8,9,15,9,0,nan,nan,8,8,nan
Mallard,nan,12,5,0,4,0,nan,nan,4,4,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Mute Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
