Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,141,133,(93),108,132,nan,Oct,129,129,nan
Tufted Duck,nan,37,22,26,34,41,nan,Mar,32,32,nan
Mute Swan,nan,33,19,17,16,11,nan,Sep,19,19,nan
Domestic Mallard,nan,1,2,2,2,0,nan,nan,1,1,nan
Goosander,nan,1,0,1,2,1,nan,Jan,1,1,nan
Goldeneye,nan,0,0,1,1,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,1,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,1,0,nan,nan,0,0,nan
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Teal,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Swan Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
