Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,233,335,107,236,89,nan,Oct,200,200,nan
Teal,nan,210,108,96,156,91,nan,Jan,132,132,nan
Greylag Goose (British/Irish),nan,2,42,13,165,14,nan,Oct,47,47,nan
Greylag Goose,nan,2,42,13,165,14,nan,Oct,47,47,nan
Canada Goose,nan,85,29,18,54,4,nan,Oct,38,38,nan
Shoveler,nan,15,39,54,36,20,nan,Oct,33,33,nan
Shelduck,nan,15,28,14,15,28,nan,Feb,20,20,nan
Goosander,nan,20,10,8,22,5,nan,Feb,13,13,nan
Tufted Duck,nan,18,4,15,23,2,nan,Jan,12,12,nan
Mandarin Duck,nan,1,28,3,7,1,nan,Oct,8,8,nan
Pochard,nan,15,0,1,4,0,nan,nan,4,4,nan
Gadwall,nan,4,0,2,5,0,nan,nan,2,2,nan
Egyptian Goose,nan,0,0,0,0,7,nan,Dec,1,1,nan
Mute Swan,nan,3,1,0,1,0,nan,nan,1,1,nan
Pintail,nan,0,1,0,0,3,nan,Dec,1,1,nan
Wigeon,nan,0,0,0,4,0,nan,nan,1,1,nan
Goldeneye,nan,0,0,0,0,2,nan,Jan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Smew,nan,0,0,0,0,0,nan,nan,0,0,nan
Red-crested Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Green-winged Teal,nan,0,0,0,0,0,nan,nan,0,0,nan
Maned Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Ruddy Shelduck,nan,0,0,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
