Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (British/Irish),nan,nan,100,100,70,2,nan,Feb,68,68,nan
Greylag Goose,nan,nan,100,100,70,2,nan,Feb,68,68,nan
Mallard,nan,nan,39,41,17,15,nan,Aug,28,28,nan
Mute Swan,nan,nan,26Supplementary visit under the WeBS Core Count SurveyWeBS,26,22,27,nan,Oct,25,25,nan
Canada Goose,nan,nan,20,31,5,0,nan,nan,14,14,nan
Teal,nan,nan,0,2,0,0,nan,nan,1,1,nan
Red-breasted Merganser,nan,nan,0,0,0,0,nan,nan,0,0,nan
Goosander,nan,nan,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,nan,0,0,0,0,nan,nan,0,0,nan
Tufted Duck,nan,nan,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,nan,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,nan,0,0,0,0,nan,nan,0,0,nan
Wigeon,nan,nan,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,nan,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,nan,0,0,0,0,nan,nan,0,0,nan
Shelduck,nan,nan,0,0,0,0,nan,nan,0,0,nan
Egyptian Goose,nan,nan,0,0,0,0,nan,nan,0,0,nan
Bewick's Swan,nan,nan,0,0,0,0,nan,nan,0,0,nan
Tundra Bean Goose,nan,nan,0,0,0,0,nan,nan,0,0,nan
Taiga Bean Goose,nan,nan,0,0,0,0,nan,nan,0,0,nan
Taiga/Tundra Bean Goose,nan,nan,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,nan,0,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,nan,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
