Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,55,176,148,256,112,nan,Sep,149,149,nan
Pink-footed Goose,nan,250,12,0,73,99,nan,Mar,87,87,nan
Greylag Goose (Icelandic),nan,182,79,108,55,0,nan,nan,85,85,nan
Greylag Goose,nan,182,79,108,55,0,nan,nan,85,85,nan
Mallard,nan,9,14,96,22,59,nan,Sep,40,40,nan
Wigeon,nan,46,3,0,9,12,nan,Feb,14,14,nan
Mute Swan,nan,3,5,6,4,0,nan,nan,4,4,nan
Goosander,nan,4,3,4,2,2,nan,Sep,3,3,nan
Canada Goose,nan,7,3,3,2,0,nan,nan,3,3,nan
Barnacle Goose (Svalbard),nan,7,0,0,0,0,nan,nan,1,1,nan
Barnacle Goose,nan,7,0,0,0,0,nan,nan,1,1,nan
Whooper Swan,nan,3,0,0,1,1,nan,Oct,1,1,nan
Shelduck,nan,0,0,0,2,2,nan,Mar,1,1,nan
Goldeneye,nan,1,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,1,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,1,0,nan,nan,0,0,nan
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Tufted Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
